id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
47438298,Studio 1  * bnapartments Rio,2589623,Rocha,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14279,-8.61848,Entire home/apt,32,2,1,2021-04-12,0.16,41,0,1,6260AL
47440043,Studio 2 * bnapartments Carregal,2589623,Rocha,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1493,-8.61774,Entire home/apt,38,2,1,2021-04-30,0.18,41,0,1,7373/RNET
47442345,NEPTUNO ANGEIRAS,236489979,Parque Orbitur Angeiras,MATOSINHOS,"Perafita, Lavra e Santa Cruz do Bispo",41.26752,-8.72078,Entire home/apt,58,1,4,2021-08-27,1.74,3,76,4,RNET Nº3250
47451684,Galeria de Paris 1,100532069,Paula,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14862,-8.6136,Entire home/apt,46,1,4,2021-06-09,0.72,3,326,4,81908/AL
47467259,Family Studio 1 * bnapartments Carregal,2589623,Rocha,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14899,-8.61795,Entire home/apt,43,2,2,2021-05-11,0.31,41,0,2,7373/RNET
47483836,Fontinha Square Apartments 3 & GARDEN,101838501,Porto City Hosts,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15604,-8.60636,Entire home/apt,70,1,5,2021-09-16,1.03,56,363,5,101400/AL
47484260,Oporto2All Apartments - Apt.2,220940756,Oporto2All,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.1369,-8.61249,Entire home/apt,50,4,2,2021-09-20,1.67,7,348,2,22926/AL
47484280,Fontinha Square Apartments 4 & GARDEN,101838501,Porto City Hosts,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15661,-8.606,Entire home/apt,87,1,1,2021-07-04,0.29,56,360,1,106055/AL
47484593,Fontinha Square Apartments 5,101838501,Porto City Hosts,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15593,-8.60661,Entire home/apt,110,1,0,,,56,334,0,106055/AL
47484702,Oporto2All Apartments - Apt.6,220940756,Oporto2All,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13614,-8.61222,Entire home/apt,29,3,0,,,7,337,0,89901/AL
47486891,Central w/balcony - 9 min-walk to Trindade,192739665,Jéssica,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15255,-8.61419,Entire home/apt,72,2,0,,,12,235,0,105337/AL
47489024,Blue Apartments - View,86504359,Blue Apartments,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.133812,-8.604357,Entire home/apt,62,2,2,2021-09-25,0.52,4,329,2,110562/AL
47490335,Charming 3BR Flat w/ Free Parking in Devesas by LovelyStay,280564100,LovelyStay,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.12363,-8.61502,Entire home/apt,55,2,6,2021-06-20,1.05,82,255,6,100399/AL
47509735,Garden Studio 1 * bnapartments Carregal,2589623,Rocha,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1493,-8.61774,Entire home/apt,40,2,0,,,41,0,0,7373/RNET
47512479,Studio 3 * bnapartments Carregal,2589623,Rocha,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1493,-8.61774,Entire home/apt,38,2,1,2021-02-26,0.13,41,0,1,7373/RNET
47531889,Apartamento Póvoa Sol,58717721,Manuela,PÓVOA DE VARZIM,"Póvoa de Varzim, Beiriz e Argivai",41.37885,-8.76837,Entire home/apt,60,3,4,2021-10-05,0.78,3,264,4,110638/AL
47571770,Casa Dona Ermelinda - Silêncio Conforto Natureza,384037600,Armando,VILA DO CONDE,"Bagunte, Ferreiró, Outeiro Maior e Parada",41.37784,-8.64116,Entire home/apt,225,2,7,2021-09-27,2.16,1,334,7,113160/AL
47577539,Gallery 92 • Spacious 1BD +Balcony +Free Breakfast,71506208,Carolina,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14913,-8.62283,Entire home/apt,64,1,15,2021-08-05,1.84,31,55,15,113790/AL
47590787,NEW! Duplex Douro River - Clean&Safe,384195997,David James,PORTO,Lordelo do Ouro e Massarelos,41.14604,-8.6306,Entire home/apt,234,2,4,2021-07-03,2.14,1,281,4,114006/AL
47709709,NEPTUNO MADALENA,238050762,Parque Orbitur Madalena,VILA NOVA DE GAIA,Madalena,41.10952,-8.65529,Entire home/apt,61,1,2,2021-08-19,0.92,2,77,2,3033
47713685,Studio 4 * bnapartments Carregal,2589623,Rocha,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1493,-8.61774,Entire home/apt,38,2,1,2021-05-12,0.19,41,0,1,7373
47729838,Cozy Sunny Flat w/ Terrace | São João,12730028,Host Wise,MATOSINHOS,São Mamede de Infesta e Senhora da Hora,41.18529,-8.59878,Entire home/apt,141,2,0,,,111,224,0,95928/AL
47733358,Salgueiros Haven - Beach 1 Bedroom Apart w/ Garage,384576664,Marco,VILA NOVA DE GAIA,Canidelo,41.12502,-8.66012,Entire home/apt,46,3,6,2021-08-22,1.33,1,320,6,44075/AL
47739314,1st A Mirante - Room 1,384546418,José,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15147,-8.61759,Private room,25,2,8,2021-09-15,2.02,7,255,8,89535/AL
47739402,1st A Mirante - Room 2,384546418,José,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14994,-8.6165,Private room,25,2,8,2021-06-02,3.43,7,252,8,89535/AL
47739708,1st A Mirante - Room 3,384546418,José,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14992,-8.61786,Private room,25,2,5,2021-06-20,1.28,7,251,5,89535/AL
47739763,1st A Mirante - Room 4,384546418,José,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15017,-8.61608,Private room,25,2,14,2021-09-25,2.68,7,242,14,89535/AL
47739868,1st A Mirante - Room 5,384546418,José,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14999,-8.61733,Private room,25,2,4,2021-09-19,0.88,7,252,4,89535/AL
47739968,1st A Mirante - Room 6,384546418,José,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15017,-8.61786,Private room,25,2,7,2021-10-08,1.07,7,257,7,89535/AL
47740267,1st A Mirante - Room 7,384546418,José,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15186,-8.61586,Private room,25,2,5,2021-09-11,0.93,7,254,5,89535/AL
47741106,Bonfim Perfect Stays,76223539,BnBird Homes,PORTO,Bonfim,41.14962,-8.59652,Entire home/apt,85,3,5,2021-09-17,1.79,39,60,5,113614/AL
47741943,Estúdio 2 * bnapartments Palácio,2589623,Rocha,PORTO,Lordelo do Ouro e Massarelos,41.14971,-8.6242,Entire home/apt,38,2,0,,,41,0,0,5588/AL
47743406,Baron House - 3 Bedroom Duplex w/ Garden & Parking,384677603,Hugo,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.12633,-8.62604,Entire home/apt,76,4,7,2021-05-14,1.68,1,220,7,107047/AL
47745431,Porto by Douro - 2 Bed Apt n/Alfândega Congress,384698112,Investwithrosa,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14365,-8.62224,Entire home/apt,60,3,8,2021-09-19,3.75,1,3,8,101227/AL
47780588,Art District central cozy studio access 2  terrace,5339641,Gabriel,PORTO,Lordelo do Ouro e Massarelos,41.15257,-8.62194,Entire home/apt,70,3,7,2021-09-10,1.86,1,105,7,98967/AL
47781370,Night on Board Classic Wooden Boat,345929185,Rui,VILA NOVA DE GAIA,Canidelo,41.14134,-8.64847,Entire home/apt,139,1,0,,,4,365,0,Exempt
47781371,Night on Board Sailboat Experience,345929185,Rui,VILA NOVA DE GAIA,Canidelo,41.14138,-8.6485,Entire home/apt,106,1,0,,,4,365,0,Exempt
47793881,"Apartamento na Póvoa de Varzim, by iZiBookings",104779539,Dotvilas,PÓVOA DE VARZIM,"AVer-o-Mar, Amorim e Terroso",41.39328,-8.76598,Entire home/apt,159,1,0,,,7,361,0,31337/AL
47797263,Twin Room Porto Lounge - City Centre,2741450,Fátima,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14904,-8.61192,Private room,85,2,0,,,6,365,0,92187/AL
47815589,Best rooftop in Porto!,8834021,Grisha,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14782,-8.61247,Entire home/apt,120,2,23,2021-10-14,5.48,1,0,23,100202/AL
47816744,Porto Class “The River”,385403004,Donpapa,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14371,-8.60809,Entire home/apt,47,2,31,2021-09-17,6.64,2,150,31,92111/AL
47817244,Estudio1 Infante -7 Bridges - Porto-houses&suites,17289096,Manuela,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1503,-8.61482,Entire home/apt,63,2,8,2021-10-06,3.53,13,150,8,114018/AL
47828610,BlancoHouse - what you need,385492901,Joana,PORTO,"Aldoar, Foz do Douro e Nevogilde",41.14913,-8.67262,Entire home/apt,75,2,1,2021-08-09,0.43,1,344,1,114061/AL
47843694,*****OportoHost Cozy Studio 2,385619623,Maria,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14342,-8.60302,Entire home/apt,46,2,20,2021-08-30,5.04,6,357,20,100996/AL
47851809,Studio 3 * bnapartments Trindade,2589623,Rocha,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15142,-8.6073,Entire home/apt,37,2,0,,,41,0,0,5041/AL
47857134,Eco Penthouse in downtown with rooftop & parking,385740410,Carlos,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15667,-8.61023,Entire home/apt,207,2,11,2021-07-24,1.36,2,349,11,114007/AL
47877994,"Vila do Conde - ""Entre Pinhais, Rio e Mar""",216864607,Nuno,VILA DO CONDE,Vila do Conde,41.35271,-8.74083,Entire home/apt,25,3,0,,,1,0,0,5535/AL
47884588,*****OportoHost Cozy Studio 1,385619623,Maria,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14375,-8.60432,Entire home/apt,47,2,14,2021-09-12,4.57,6,362,14,100996/AL
